21-521,Dorset,dev,1420-05-11,1420-10-14
21-522,Gloucestershire and the Adjacent March of Wales,dev,1420-05-11,1420-10-10
21-523,Staffordshire,dce,1420-10-18,1420-11-16
21-524,Staffordshire,dce,1420-12-13,1421-01-14
21-525,Staffordshire,dce,1421-02-04,1421-02-10
21-526,Shropshire,dce,1420-06-03,1420-06-15
21-527,Kent,dce,1420-12-05,1421-02-20
21-528,Cornwall,dce,1421-05-21,1421-09-10
21-529,Herefordshire,dce,1421-02-05,1421-04-01
21-530,Lincolnshire,dce,1421-02-05,1421-04-11
21-531,Gloucestershire and the Adjacent March of Wales,man,1419-11-13,1420-04-22
21-533,Staffordshire,dce,1420-11-09,1421-01-11
21-534,Wiltshire,dce,1420-11-09,1421-01-13
21-535,Lincolnshire,dce,1420-11-09,1420-12-14
21-536,Shropshire and the Adjacent March of Wales,dce,1420-11-09,1421-01-09
21-537,Bedfordshire,dce,1420-11-09,1420-12-09
21-538,Northamptonshire,dce,1420-11-09,1420-12-05
21-539,Hertfordshire,dce,1420-11-09,1420-12-10
21-540,Warwickshire,dce,1420-11-09,1420-12-05
21-541,Staffordshire,dce,1420-08-24,1420-09-06
21-542,Worcestershire,dce,1420-08-24,1420-09-25
21-543,Worcestershire,mel,1420-11-08,1420-11-20
21-544,Warwickshire,dce,1420-08-24,1420-09-21
21-545,Warwickshire,mel,1420-11-08,1420-11-14
21-546,Herefordshire and the Adjacent March of Wales,dce,1420-08-24,1420-09-24
21-547,Essex,dce,1420-05-20,1420-06-29
21-548,Somerset,dce,1420-05-22,1420-06-28
21-550,Yorkshire,dce,1420-05-18,1420-06-07
21-551,Westmorland,dce,1420-05-18,1420-06-15
21-553,Nottinghamshire,dce,1420-07-06,1420-09-14
21-554,Lincolnshire,dce,1420-07-06,1420-07-31
21-555,Somerset,dce,1420-07-06,1420-08-13
21-556,Bedfordshire,dce,1420-07-06,1420-07-20
21-557,Cornwall,dce,1420-07-06,1420-08-24
21-558,Bedfordshire,dep,1416-11-06,1416-11-15
21-559,Northumberland,dce,1420-05-20,1421-03-08
21-560,Worcestershire,dce,1420-10-28,1420-11-20
21-561,Warwickshire,dce,1420-10-28,1420-11-14
21-562,Hampshire,dce,1420-11-05,1421-01-20
21-563,Surrey,dce,1420-11-05,1420-11-14
21-564,Buckinghamshire,qp,1420-07-10,1420-10-04
21-565,Surrey,dev,1420-10-24,1420-11-07
21-566,Lincolnshire,dev,1420-10-13,1420-11-12
21-567,Hampshire,dce,1420-10-28,1420-11-18
21-569,Somerset,dce,1420-10-28,1420-11-08
21-570,Somerset,dce,1420-02-04,1420-05-22
21-571,Somerset,dev,1420-10-01,1420-11-02
21-572,Gloucestershire and the Adjacent March of Wales,dce,1420-11-28,1421-04-01
21-573,Devon,dce,1420-11-28,1421-08-09
21-574,Hertfordshire,dce,1420-11-28,1420-12-11
21-575,Shropshire and the Adjacent March of Wales,dce,1420-11-28,1421-02-01
21-576,Herefordshire and the Adjacent March of Wales,dce,1420-11-28,1421-01-10
